PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME
C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CC3=CC=CC=C3,Active
CC(C)(C)C(=O)/C(=C\C1=CC(=CC=C1)[N+](=O)[O-])/N2C=NC=N2,Active
CN1C2=CC=CC=C2C(=C1CN3CCCC3)C#N,Active
CCN(CC)CCNC(=O)C1=C(C2=C(N1)C=CC(=C2)OCC3=CC=CC=C3)C,Active
CCN(CC)CCN1C2=CC=CC=C2N=C1NCC3=CC(=CC=C3)OC.Cl,Active
CC1=CC=CC=C1C(=O)NC2CC3CCC(C2)N3CC4=CC=CC=C4,Active
C1CCN(CC1)CC(=O)N2CCC3=CC=CC=C32,Active
CC1=CC2=C(C=C1)[N+](=C(S2)C)CCCS(=O)(=O)[O-],Active
CC1CCC(C(C1)OC(=O)CN2C3=CC=CC=C3[N+](=C2C4=CC=C(C=C4)OC)C)C(C)C.[Cl-],Active
C1CCC(CC1)NC(=O)CN2CCC(CC2)N3C4=C(C=C(C=C4)F)N=N3,Active
C1=CC=C2C(=C1)C=CC=C2N3C(=NN=N3)N/N=C/C4=C(C(=CC(=C4)[N+](=O)[O-])Br)O,Active
CC(=O)/C=C/N1C2=CC=CC=C2OC1=S,Active
CC(C)(C)OC(=O)NC1CC2CCCC(C1)N2CC3=CC=CC=C3,Active
C1COCCN1CC(=O)NC2=NC3=C(S2)C=C(C=C3)[N+](=O)[O-],Active
CC1=CC(=C(C=C1S(=O)(=O)N2CCOCC2)C)OC,Active
C1CCC2C(C1)C(CCN2CC3=CC=CC=C3)(C4=CC=CC=C4)O.Cl,Active
CC1=C(C=C(C=C1)NC(=O)CN2CCCCCC2)Br.Cl,Active
CN1C2=CC=CC=C2C(=C(C1=O)[N+](=O)[O-])Cl,Active
CC1=CC=CC=C1C(=O)NC2CC3CCCC(C2)N3CC4=CC=CC=C4,Active
COC1=CC(=C(C=C1)OC)NC(=O)CCN2CCN(CC2)C3=CC=CC=C3OC,Active
C1=COC(=C1)/C=C/C(=O)NC(=S)NNC(=O)C2=CC=CO2,Active
CC1=CC=CC=C1N2CCN(CC2)CCC(=O)NC3=CC=C(C=C3)F,Active
COC1=C(C=C(C=C1)[N+](=O)[O-])N(CC(CN(CC=C)CC=C)O)S(=O)(=O)C2=CC=CC=C2,Active
CC1CC(NC2=C1C=C(C=C2)N=O)(C)C,Active
CC(C(=O)C1=CC=C(C=C1)Br)[N+]2=CC=C(C=C2)NC(=O)C.[Cl-],Active
COC1=CC(=CC(=C1OC)OC)NC2=NN=C(C=C2)C3=CC=CC=C3F.Cl,Active
CC(=O)C1=CC=C(C=C1)N2C(=NNC2=S)C3=NNC(=C3)C4=CC=CO4,Active
COC1=CC=C(C=C1)CNC(=O)CN2CCC(CC2)N3C4=C(C=C(C=C4)F)N=N3,Active
COC1=C(C=C(C=C1)Br)CN2CCN(CC2)C(=O)C3=CC(=CC=C3)OC.C(=O)(C(=O)O)O,Active
C1CC2CC(CC(C1)N2CC3=CC=CC=C3)NC(=O)NC4=CC(=C(C=C4)Cl)C(F)(F)F,Active
C1=COC(=C1)C(=O)NNC(=S)NC(=O)/C=C/C2=CC=C(C=C2)Br,Active
CCN(CC)CCN(CC1=CC2=C(C=C(C=C2)C)NC1=O)C(=S)NC3=CC=CC=C3C(=O)OC,Active
