Compiling models...
Starting GA...
[1;32mWrote molecules to file[0m
         11222460 function calls (10852263 primitive calls) in 73.218 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       89    0.030    0.000   65.712    0.738 inverse_qsar_cli.py:228(model_scoring)
   199412    0.029    0.000    0.029    0.000 {method 'append' of 'list' objects}
  728/716    0.029    0.000    9.174    0.013 tracing_compiler.py:303(_maybe_define_function)
    31008    0.029    0.000    0.137    0.000 nest.py:356(flatten)
     2464    0.029    0.000    0.262    0.000 options.py:115(merge_options)
     8844    0.029    0.000    0.029    0.000 context.py:1400(op_callbacks)
     6090    0.029    0.000    0.075    0.000 nest.py:185(_sequence_like)
46633/46565    0.029    0.000    0.130    0.000 {method 'join' of 'str' objects}
    31680    0.028    0.000    0.028    0.000 options.py:33(__init__)
    72682    0.028    0.000    0.150    0.000 compat.py:115(as_str)
     8974    0.028    0.000    0.053    0.000 base_layer.py:3234(_flatten_modules)
     2464    0.028    0.000    0.304    0.000 dataset_ops.py:225(__init__)
    22431    0.028    0.000    0.058    0.000 tf_decorator.py:193(unwrap)
16542/16462    0.028    0.000    1.545    0.000 trace.py:178(wrapped)
     8856    0.027    0.000    0.175    0.000 tf_stack.py:169(extract_stack_for_op)
     1053    0.027    0.000    0.027    0.000 {method 'findall' of 're.Pattern' objects}
     4238    0.027    0.000    0.106    0.000 ops.py:503(_c_api_shape)
29324/7812    0.026    0.000    0.075    0.000 {built-in method builtins.hash}
    32604    0.025    0.000    0.048    0.000 tensor_shape.py:722(as_dimension)
    12664    0.025    0.000    0.107    0.000 ops.py:2514(inputs)
     4618    0.025    0.000    0.025    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GraphVersions}
     8856    0.025    0.000    0.087    0.000 lock_util.py:85(acquire)
    21065    0.025    0.000    0.031    0.000 object_identity.py:181(__init__)
     3157    0.024    0.000    0.548    0.000 <frozen importlib._bootstrap_external>:950(get_code)
     3231    0.024    0.000    0.024    0.000 {method '__exit__' of '_io._IOBase' objects}
     8856    0.024    0.000    0.076    0.000 ops.py:4781(_apply_device_functions)
     6314    0.024    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      791    0.024    0.000   11.369    0.014 __init__.py:1(<module>)
     9336    0.024    0.000    0.024    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationOutputType}
3412/3214    0.024    0.000    1.351    0.000 nest.py:809(map_structure)
